id,title,stage_id,stage_name,stage_semantic_id,category_id,category_name,opportunity,currency_id,probability,assigned_by_name,date_create,date_modify,closedate,source_id,source_name,is_closed,alcance_pau,alcance_pic,dept_cisac
108,RFQ Nro: 004 Transmisor de Presión (2do Circuito Adsorción - P. Shahuindo),LOSE,Closed Lost,F,0,Pipeline Principal,873.06000000,USD,70,Francisco Gonzales P.,2016-02-06T00:56:18+03:00,2021-10-25T21:46:52+03:00,2016-06-03T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
110,"Flujometro electromagnetico de 4""",LOSE,Closed Lost,F,0,Pipeline Principal,2809.80000000,USD,50,Ricardo Alvarado,2016-02-06T02:03:32+03:00,2021-10-25T21:46:52+03:00,2016-09-20T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
112,"10002312, Nivel para silo de maiz",3,Closed Other,F,0,Pipeline Principal,1537.52000000,USD,50,Walter Colán G.,2016-02-06T02:41:19+03:00,2018-11-27T01:10:26+03:00,2016-04-26T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
114,"10002347, GN en deodorizador 1",WON,Closed Won,S,0,Pipeline Principal,1482.17000000,USD,70,Walter Colán G.,2016-02-06T02:59:07+03:00,2018-11-27T01:10:26+03:00,2016-03-23T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
116,Servicio de diagnostico de medidor magnetico,3,Closed Other,F,0,Pipeline Principal,951.00000000,USD,45,Fredy Huamán R.,2016-02-07T21:39:35+03:00,2021-10-25T21:47:56+03:00,2016-07-20T03:00:00+03:00,,,N,No llenado,No llenado,Servicios
118,"Flujómetro de 6"" para Agua",LOSE,Closed Lost,F,0,Pipeline Principal,6232.03000000,USD,60,Walter Colán G.,2016-02-08T16:25:35+03:00,2018-11-27T01:10:26+03:00,2016-05-09T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
120,900 Varillas de desatoro,3,Closed Other,F,0,Pipeline Principal,8775.00000000,USD,50,Ricardo Alvarado,2016-02-08T16:40:27+03:00,2021-10-25T21:46:52+03:00,2016-09-20T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
122,300 varillas para desatoro,WON,Closed Won,S,0,Pipeline Principal,2925.00000000,USD,70,Ricardo Alvarado,2016-02-08T17:03:22+03:00,2021-10-25T21:46:52+03:00,2016-02-19T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
124,Interruptor de Nivel Liquiphant,3,Closed Other,F,0,Pipeline Principal,3227.90000000,USD,75,Walter Colán G.,2016-02-08T17:16:26+03:00,2018-11-27T01:10:26+03:00,2016-04-12T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
128,Servicio de Calibración Sensores de Turbidez E+H Hudbay,3,Closed Other,F,0,Pipeline Principal,6638.00000000,USD,75,Fredy Huamán R.,2016-02-08T21:02:50+03:00,2018-11-27T01:10:26+03:00,2016-08-31T03:00:00+03:00,,,N,No llenado,No llenado,Servicios
130,Flujometros y Paneles Solares,3,Closed Other,F,0,Pipeline Principal,24739.24000000,USD,55,Yerson Juarez V.,2016-02-08T22:15:02+03:00,2026-04-23T18:10:08+03:00,2016-03-08T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
132,RFQ: 6000141330 - Tx y sensor de pH,WON,Closed Won,S,0,Pipeline Principal,4532.32000000,USD,70,Yemira Arce L.,2016-02-08T23:27:47+03:00,2021-10-25T21:46:52+03:00,2016-02-12T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
134,Rotasonda y 50 varillas,LOSE,Closed Lost,F,0,Pipeline Principal,6449.27000000,USD,70,Ricardo Alvarado,2016-02-08T23:55:11+03:00,2021-10-25T21:46:52+03:00,2016-06-13T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
136,Proyecto MINSUR Haug,LOSE,Closed Lost,F,0,Pipeline Principal,22122.00000000,USD,75,Fredy Huamán R.,2016-02-09T00:01:01+03:00,2018-11-27T01:10:27+03:00,2016-04-20T03:00:00+03:00,,,N,No llenado,No llenado,Servicios
138,McCrometer MF103,WON,Closed Won,S,0,Pipeline Principal,1777.97000000,USD,50,Ricardo Alvarado,2016-02-09T00:07:25+03:00,2021-10-25T21:48:23+03:00,2016-09-06T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
140,Repuestos de Analizadores de Cloro,WON,Closed Won,S,0,Pipeline Principal,1850.13000000,USD,100,Yemira Arce L.,2016-02-09T01:12:16+03:00,2018-11-27T01:10:27+03:00,2016-02-09T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
142,Solicitud de cotización TX PHmetro TKs lavado acido LQ,LOSE,Closed Lost,F,0,Pipeline Principal,6238.50000000,USD,50,Yerson Juarez V.,2016-02-09T01:20:15+03:00,2026-04-30T22:47:18+03:00,2016-04-07T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
144,Switch de flujo - SP-GA - Krusman,LOSE,Closed Lost,F,0,Pipeline Principal,3516.22000000,USD,50,Francisco Gonzales P.,2016-02-09T01:40:36+03:00,2021-10-25T21:46:51+03:00,2020-02-20T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
146,2 Flujometros de CO2 Liquido,WON,Closed Won,S,0,Pipeline Principal,14379.90000000,USD,60,Alex Gamarra G.,2016-02-09T16:33:48+03:00,2018-11-27T01:10:27+03:00,2016-02-17T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
148,"Flujometro Electromagnetico 2.5"" para pulpa",3,Closed Other,F,0,Pipeline Principal,8769.12000000,USD,70,Eduardo Rosas,2016-02-09T17:44:27+03:00,2018-11-27T01:10:27+03:00,2016-02-29T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
150,Sensor de Temperatura Linea de Gas,LOSE,Closed Lost,F,0,Pipeline Principal,1398.71000000,USD,30,Alex Gamarra G.,2016-02-09T18:07:36+03:00,2021-10-25T21:47:07+03:00,2016-03-18T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
152,Puesta en marcha - flujómetros másicos planta Pucusana,WON,Closed Won,S,0,Pipeline Principal,999.00000000,USD,75,Fredy Huamán R.,2016-02-09T18:26:11+03:00,2018-11-27T01:10:27+03:00,2016-03-09T03:00:00+03:00,,,N,No llenado,No llenado,Servicios
154,"RFQ 6011598461, Transmisor de Temp TMT182",WON,Closed Won,S,0,Pipeline Principal,879.80000000,USD,85,Walter Colán G.,2016-02-09T19:43:04+03:00,2018-11-27T01:10:27+03:00,2016-02-16T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
156,Interruptor de Nivel,WON,Closed Won,S,0,Pipeline Principal,10734.81000000,USD,100,Yemira Arce L.,2016-02-09T21:07:12+03:00,2018-11-27T01:10:27+03:00,2016-02-26T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
158,Fabtech SAC - RFQ Instrumentos PETROPERU,LOSE,Closed Lost,F,0,Pipeline Principal,38037.73000000,USD,90,Eduardo Rosas,2016-02-09T21:11:42+03:00,2021-10-25T21:59:25+03:00,2016-10-13T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
160,Ampliación y mejoramiento de los sistemas de agua potable y alcantarillado del esquema de Pucusana,LOSE,Closed Lost,F,0,Pipeline Principal,1200760.58000000,USD,5,Ricardo Alvarado,2016-02-09T22:53:13+03:00,2018-11-27T01:10:28+03:00,2016-10-07T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
162,Instrumentos de Nivel y Flujo para Planta de tratamiento STAGE 3,WON,Closed Won,S,0,Pipeline Principal,11499.29000000,USD,49,Yerson Juarez V.,2016-02-09T23:06:57+03:00,2026-04-30T22:47:18+03:00,2016-03-31T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
164,Posible interés en sistema densidad de Ultimo MPD,3,Closed Other,F,0,Pipeline Principal,25000.00000000,USD,20,Yemira Arce L.,2016-02-09T23:15:51+03:00,2026-04-27T22:59:49+03:00,2016-07-05T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
166,Repuesto para Detector de Fugas de Cloro,WON,Closed Won,S,0,Pipeline Principal,2329.14000000,USD,75,Ricardo Alvarado,2016-02-10T00:37:45+03:00,2018-11-27T01:10:28+03:00,2016-02-28T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
170,AGROINDUSTRIAL PARAMONGA - Flujometros para agua y jugo de azucar,3,Closed Other,F,0,Pipeline Principal,20000.00000000,USD,51,Walter Colán G.,2016-02-10T01:43:56+03:00,2026-04-30T18:30:58+03:00,2016-09-23T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
172,RFQ Liquiphant FTL51,WON,Closed Won,S,0,Pipeline Principal,824.67000000,USD,85,Walter Colán G.,2016-02-10T01:44:45+03:00,2018-11-27T01:10:28+03:00,2016-02-11T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
174,Agroindustrial Paramonga (AIPSA) - Flujometro para tuberia de 1.5m de agua de proceso,3,Closed Other,F,0,Pipeline Principal,12000.00000000,USD,49,Walter Colán G.,2016-02-10T01:46:01+03:00,2026-04-30T18:30:58+03:00,2016-06-28T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
176,Nuevo Molino Vertical (Vertimill),3,Closed Other,F,0,Pipeline Principal,100000.00000000,USD,30,Lilibeth Bazán V.,2016-02-10T01:46:10+03:00,2026-04-30T18:29:06+03:00,2017-03-09T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
178,Tasa - Flujometro para medicion agua/pescado en la Chata CALLAO,3,Closed Other,F,0,Pipeline Principal,5000.00000000,USD,15,Walter Colán G.,2016-02-10T01:50:37+03:00,2018-11-27T01:10:28+03:00,2016-06-28T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
180,Control de Actuador Electrico para Valvula Cuchilla,WON,Closed Won,S,0,Pipeline Principal,3826.33000000,USD,51,Ricardo Alvarado,2016-02-10T01:55:13+03:00,2018-11-27T01:10:28+03:00,2016-02-18T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
182,Ambev Pta. Huachipa - Flujometro Portatil para agua de proceso,3,Closed Other,F,0,Pipeline Principal,14000.00000000,USD,15,Walter Colán G.,2016-02-10T01:56:45+03:00,2018-11-27T01:10:28+03:00,2016-09-23T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
184,Quimpac Oquendo - Instrumentacion de planta de tratamiento,3,Closed Other,F,0,Pipeline Principal,20000.00000000,USD,50,Alex Gamarra G.,2016-02-10T01:59:24+03:00,2026-04-30T18:53:32+03:00,2016-04-07T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
186,RFQ Interruptor de Nivel Liquiphant FTL51,3,Closed Other,F,0,Pipeline Principal,824.67000000,USD,40,Walter Colán G.,2016-02-10T16:33:19+03:00,2018-11-27T01:10:28+03:00,2016-02-15T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
188,"Actuadores Electricos para Linea de Conduccion, Proy. Pachacutec I",WON,Closed Won,S,0,Pipeline Principal,12637.63000000,USD,49,Ricardo Alvarado,2016-02-10T16:50:15+03:00,2018-11-27T01:10:28+03:00,2016-03-09T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
190,Calibración de Conductivímetro CLD134,WON,Closed Won,S,0,Pipeline Principal,800.00000000,USD,50,Fredy Huamán R.,2016-02-11T00:54:29+03:00,2018-11-27T01:10:29+03:00,2016-03-24T03:00:00+03:00,,,N,No llenado,No llenado,Servicios
192,RFQ PMP51 y TM411,WON,Closed Won,S,0,Pipeline Principal,5964.93000000,USD,85,Walter Colán G.,2016-02-11T01:30:48+03:00,2018-11-27T01:10:29+03:00,2016-02-16T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
194,W@M Portal,3,Closed Other,F,0,Pipeline Principal,40000.00000000,USD,40,Yerson Juarez V.,2016-02-11T17:15:30+03:00,2026-04-23T20:02:43+03:00,2016-06-23T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
196,Proyecto Tambomayo - Densidad Gama,LOSE,Closed Lost,F,0,Pipeline Principal,182746.73000000,USD,55,Yemira Arce L.,2016-02-11T19:26:08+03:00,2018-11-27T01:10:29+03:00,2016-05-02T03:00:00+03:00,,,N,No llenado,No llenado,"Ventas,Servicios"
198,10002376 - Sensores hidrost. + Ultrasonic,WON,Closed Won,S,0,Pipeline Principal,3923.12000000,USD,60,Eduardo Rosas,2016-02-11T19:28:13+03:00,2018-11-27T01:10:29+03:00,2016-03-04T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
200,10002378 - Nivel Hidrost.,WON,Closed Won,S,0,Pipeline Principal,1770.47000000,USD,70,Eduardo Rosas,2016-02-11T19:49:45+03:00,2026-04-30T18:54:19+03:00,2016-03-04T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
202,Transmisores de Presion - PIT horno 1,WON,Closed Won,S,0,Pipeline Principal,8493.08000000,USD,90,Yerson Juarez V.,2016-02-11T19:56:31+03:00,2026-04-30T22:43:02+03:00,2016-02-11T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
204,10002379-000 - Liquiphant,3,Closed Other,F,0,Pipeline Principal,406.88000000,USD,50,Eduardo Rosas,2016-02-11T20:10:50+03:00,2018-11-27T01:10:29+03:00,2016-10-07T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
206,McCrometer MO308,LOSE,Closed Lost,F,0,Pipeline Principal,1575.70000000,USD,50,Ricardo Alvarado,2016-02-11T21:43:49+03:00,2021-10-25T21:46:51+03:00,2016-06-13T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
208,Sistema de Medicion de pH - Planta ARD Relaves,WON,Closed Won,S,0,Pipeline Principal,27908.94000000,USD,70,Yerson Juarez V.,2016-02-12T00:26:10+03:00,2026-04-23T18:13:49+03:00,2016-10-11T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
210,Sensor de Temperatura pt100 c/teflon II SP: 16255031,3,Closed Other,F,0,Pipeline Principal,2861.02000000,USD,90,Yerson Juarez V.,2016-02-12T00:51:00+03:00,2018-11-27T01:10:29+03:00,2016-06-23T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
212,"Flujometro 1-1/2"" para agua Potable",LOSE,Closed Lost,F,0,Pipeline Principal,4493.60000000,USD,49,Yerson Juarez V.,2016-02-12T00:55:03+03:00,2026-04-23T20:01:46+03:00,2016-03-17T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
214,"10002051-003, Proyecto Calamity Tank PTAR",WON,Closed Won,S,0,Pipeline Principal,17844.59000000,USD,40,Walter Colán G.,2016-02-12T01:05:00+03:00,2021-10-25T21:46:37+03:00,2016-05-19T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
216,Transmisor de Presion de Valvula Retractil y accesorios para analitica,LOSE,Closed Lost,F,0,Pipeline Principal,8704.21000000,USD,70,Francisco Gonzales P.,2016-02-12T02:17:02+03:00,2020-02-21T00:43:46+03:00,2020-02-20T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
218,Medidor de caudal MW504 y repuestos,LOSE,Closed Lost,F,0,Pipeline Principal,6472.80000000,USD,70,Ricardo Alvarado,2016-02-12T02:39:51+03:00,2026-04-23T17:57:12+03:00,2016-06-13T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
220,Proyecto Tambomayo - Flujo,LOSE,Closed Lost,F,0,Pipeline Principal,148590.68000000,USD,55,Yemira Arce L.,2016-02-12T02:56:59+03:00,2021-10-25T21:59:02+03:00,2016-05-26T03:00:00+03:00,,,N,No llenado,No llenado,"Ventas,Servicios"
222,Tx de Nivel A6CV NEW FMR 7-FL-0270-C-RQ - Level Transmitters Moly Plant 3510 (Area 2-COMM-3510),3,Closed Other,F,0,Pipeline Principal,43352.55000000,USD,65,Yemira Arce L.,2016-02-12T03:14:24+03:00,2021-10-25T21:59:02+03:00,2016-04-12T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
224,RFQ: 160214 - Tx de Flujo Ultrasonico,LOSE,Closed Lost,F,0,Pipeline Principal,5185.98000000,USD,65,Yemira Arce L.,2016-02-12T03:43:06+03:00,2021-10-25T21:46:51+03:00,2016-03-17T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
226,"Esquema Cajamarquilla Nievería y Cerro Camote - Ampliación de los sistemas de Agua Potable y Alcantarillado, Distrito de Lurigancho y San Antonio de Huarochiri - SNIP 135334",3,Closed Other,F,0,Pipeline Principal,200000.00000000,USD,15,Ricardo Alvarado,2016-02-12T16:29:24+03:00,2018-11-27T01:10:30+03:00,2016-07-21T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
228,Varillas Flexibles - Periodo 2016,3,Closed Other,F,0,Pipeline Principal,13437.50000000,USD,50,Ricardo Alvarado,2016-02-12T22:16:18+03:00,2021-10-25T21:46:51+03:00,2016-09-20T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
230,Repuesto Sensor de Nivel de Cama de Lodos,3,Closed Other,F,0,Pipeline Principal,7740.00000000,USD,75,Yemira Arce L.,2016-02-12T22:27:34+03:00,2026-04-24T16:58:37+03:00,2016-06-28T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
232,Baldes de acero,3,Closed Other,F,0,Pipeline Principal,163301.04000000,USD,20,Ricardo Alvarado,2016-02-12T22:28:37+03:00,2021-10-25T21:46:51+03:00,2016-09-20T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
234,Sensor de Nivel Ultrasonico - Celdas de Flotacion,LOSE,Closed Lost,F,0,Pipeline Principal,1903.34000000,USD,50,Yerson Juarez V.,2016-02-12T23:15:52+03:00,2026-04-30T18:33:46+03:00,2016-06-24T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
236,Medidores de nivel de agua en calderos 1 y 2 planta fuerza,3,Closed Other,F,0,Pipeline Principal,6000.00000000,USD,50,Walter Colán G.,2016-02-12T23:18:39+03:00,2018-11-27T01:10:30+03:00,2018-04-23T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
238,"RFQ 6001297581, CLD134",3,Closed Other,F,0,Pipeline Principal,18331.65000000,USD,85,Walter Colán G.,2016-02-12T23:29:26+03:00,2018-11-27T01:10:30+03:00,2016-06-26T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
240,Proyecto Tambomayo - Analisis,LOSE,Closed Lost,F,0,Pipeline Principal,82703.23000000,USD,85,Yemira Arce L.,2016-02-13T00:37:29+03:00,2018-11-27T01:10:30+03:00,2016-05-26T03:00:00+03:00,,,N,No llenado,No llenado,"Ventas,Servicios"
242,Medidor de presion con registrador,3,Closed Other,F,0,Pipeline Principal,2000.00000000,USD,50,Alex Gamarra G.,2016-02-13T00:50:38+03:00,2021-10-25T21:48:37+03:00,2016-04-21T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
244,Ampliación de contrato 25635-220-POA-JR00-00001,WON,Closed Won,S,0,Pipeline Principal,16965.00000000,USD,75,Fredy Huamán R.,2016-02-13T00:52:25+03:00,2018-11-27T01:10:30+03:00,2016-10-03T03:00:00+03:00,,,N,No llenado,No llenado,Servicios
246,Medidor de nivel de interface entre agua y condensado,LOSE,Closed Lost,F,0,Pipeline Principal,3000.00000000,USD,50,Alex Gamarra G.,2016-02-13T00:57:39+03:00,2018-11-27T01:10:31+03:00,2016-09-21T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
248,Sistema de medición y dosificación de cloro,3,Closed Other,F,0,Pipeline Principal,5000.00000000,USD,50,Ricardo Alvarado,2016-02-13T01:02:37+03:00,2018-11-27T01:10:31+03:00,2018-05-07T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
250,REQ 12529 CH ll Flujometro 55S,LOSE,Closed Lost,F,0,Pipeline Principal,5775.57000000,USD,85,Yemira Arce L.,2016-02-13T02:02:45+03:00,2026-04-27T22:57:05+03:00,2016-02-29T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
252,Flujometro Masico para Chocolate,3,Closed Other,F,0,Pipeline Principal,14000.00000000,USD,15,Walter Colán G.,2016-02-13T02:13:16+03:00,2018-11-27T01:10:31+03:00,2016-05-19T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
